opportunity_id,sales_agent,product,account,deal_stage,engage_date,close_date,close_value
OPP-0001,Kary Hendrixson,GTX Pro,Oceanic Systems,Lost,2023-08-05,2023-08-18,
OPP-0002,Kami Berrey,GTX Plus Pro,Westfield Employment,Won,2023-08-28,2023-10-04,7931.59
OPP-0003,Cassey Cassidy,MG Advanced,Oakridge Networks,Won,2023-10-02,2023-12-28,3176.09
OPP-0004,Marty Freudenburg,GTX Plus Pro,Oakridge Networks,Engaging,2023-01-02,,
OPP-0005,Wilburn Weyer,GTK 500,Westfield Employment,Lost,2023-06-02,2023-08-23,
OPP-0006,Vernita Chega,GTXPro,Acme Hardware,Engaging,2023-09-29,,
OPP-0007,Anna Boston,GTX Basic,,Prospecting,,,
OPP-0008,Vernita Chega,GTK 500,Halcyon Software,Lost,2023-02-13,2023-02-26,
OPP-0009,Elease Farler,MG Special,,Prospecting,,,
OPP-0010,Elease Farler,MG Special,Trueline Entertainment,Won,2023-04-19,2023-05-19,59.68
OPP-0011,Kami Berrey,MG Advanced,Westfield Employment,Won,2023-08-13,2023-10-14,2878.63
OPP-0012,Vernita Chega,GTX Basic,Silverpeak Inc,Engaging,2023-10-11,,
OPP-0013,Cassey Cassidy,GTX Basic,Silverpeak Inc,Won,2023-01-31,2023-02-13,639.19
OPP-0014,Boris Tarwater,GTX Basic,Halcyon Software,Won,2023-05-23,2023-06-24,558.63
OPP-0015,Niesha Cyrier,GTK 500,Vantage Telecom,Won,2023-08-31,2023-09-29,1800.28
OPP-0016,Kami Berrey,GTX Plus Basic,Northwind Traders,Won,2023-08-28,2023-11-24,1308.26
OPP-0017,Kary Hendrixson,GTX Basic,Cedarline Corp,Won,2023-06-23,2023-07-29,482.15
OPP-0018,Elease Farler,GTX Plus Pro,,Prospecting,,,
OPP-0019,Kary Hendrixson,GTX Plus Pro,Cedarline Corp,Lost,2023-10-09,2023-10-20,
OPP-0020,Elease Farler,MG Special,,Prospecting,,,
OPP-0021,Anna Boston,GTX Plus Pro,,Engaging,2023-07-25,,
OPP-0022,Cassey Cassidy,GTX Plus Pro,,Engaging,2023-08-21,,
OPP-0023,Elease Farler,MG Advanced,Redgate Solutions,Won,2023-03-21,2023-05-02,3009.86
OPP-0024,Cassey Cassidy,GTK 500,Ironbridge Retail,Won,2023-02-01,2023-02-13,1762.3
OPP-0025,Anna Boston,GTK 500,Farview Ltd,Lost,2023-09-29,2023-10-11,
OPP-0026,Elease Farler,GTX Basic,Oceanic Systems,Lost,2023-02-05,2023-02-18,
OPP-0027,Vernita Chega,GTX Plus Pro,Silverpeak Inc,Prospecting,,,
OPP-0028,Cassey Cassidy,GTK 500,Pinehill Marketing,Prospecting,,,
OPP-0029,Marty Freudenburg,GTX Pro,,Engaging,2023-05-16,,
OPP-0030,Marty Freudenburg,GTX Plus Pro,,Engaging,2023-02-07,,
OPP-0031,Niesha Cyrier,GTX Basic,,Prospecting,,,
OPP-0032,Boris Tarwater,GTX Basic,Bellcrest Media,Lost,2023-07-09,2023-08-03,
OPP-0033,Anna Boston,MG Special,Oceanic Systems,Won,2023-06-04,2023-08-31,55.64
OPP-0034,Elease Farler,GTX Plus Basic,Marlow Group,Lost,2023-02-23,2023-04-02,
OPP-0035,Kary Hendrixson,GTX Basic,Oakridge Networks,Won,2023-03-21,2023-05-01,573.06
OPP-0036,Boris Tarwater,GTX Pro,Halcyon Software,Lost,2023-09-16,2023-10-23,
OPP-0037,Cassey Cassidy,GTX Basic,Northwind Traders,Won,2023-05-22,2023-05-27,513.38
OPP-0038,Wilburn Weyer,MG Advanced,Crestview Services,Lost,2023-03-24,2023-06-07,
OPP-0039,Kami Berrey,GTK 500,Marlow Group,Prospecting,,,
OPP-0040,Boris Tarwater,GTK 500,Marlow Group,Won,2023-08-09,2023-08-19,1984.18
OPP-0041,Cassey Cassidy,GTX Plus Basic,,Engaging,2023-05-08,,
